recommendation_rank,flow_rate_L_min,channel_number,channel_width_mm,channel_height_mm,required_width_mm,predicted_max_temperature_C,predicted_pressure_drop_kPa_raw,predicted_pressure_drop_kPa,predicted_thermal_margin_C,predicted_pressure_margin_kPa,manufacturing_score,engineering_score,physics_engineering_score,physics_max_temperature_C,physics_pressure_drop_kPa,physics_pumping_power_W,physics_Re,physics_flow_regime,physics_thermal_ok,physics_pressure_ok,physics_feasible
1,0.525417231065416,22,1.113361358946896,3.7771786932970084,34.99394989683171,75.73965416185115,-0.15234156347449032,0.0001,9.26034583814885,49.9999,0,0.0013995425429236402,0.0052482117266157025,75.56450074492986,0.04539860082460176,0.00039755345232510617,182.35123437242575,Laminar,True,True,True
2,0.5250158841629698,22,1.1277326307931625,3.672297107304462,35.31011787744958,76.49231831900268,-0.19799184897207683,0.0001,8.507681680997322,49.9999,0,0.0013772434070213988,0.0052682028640502815,76.4882346809892,0.0457570191419554,0.00040038603102459416,185.64776755825238,Laminar,True,True,True
3,0.5071666114387978,22,1.114136652582252,2.9423891217839744,35.011006356809546,81.24469950483042,-0.09388598417374956,0.0001,3.7553004951695783,49.9999,0,0.0003855243833873724,0.006833826362695259,81.70071143025604,0.06363874303776892,0.0005379240943781608,212.20598627086503,Laminar,True,True,True
4,0.553115274157997,20,1.0673685301709586,3.644066316770831,30.847370603419172,77.98186837860179,-0.09978259997260779,0.0001,7.0181316213982115,49.9999,0,0.0029384666591510005,0.018152341081780748,78.1593676972079,0.06165626547086344,0.0005683837029912479,219.18779266234807,Laminar,True,True,True
5,0.5620006138420712,24,1.0181806719805278,3.7092569855607014,35.93633612753267,69.88502060099279,-0.17211269637669283,0.0001,15.114979399007211,49.9999,0,0.003432142817968027,0.01900001600009076,70.35458464220176,0.05742422360812101,0.0005378741486194728,184.96247785039108,Laminar,True,True,True
6,0.5595462027493869,21,1.045988675468668,3.5905873008016007,31.965762184842028,74.98289453983452,-0.11071350502942698,0.0001,10.017105460165482,49.9999,0,0.003295773890782715,0.020616468620690824,76.08515368530365,0.06390431640893646,0.0005959569597652622,214.5868844647184,Laminar,True,True,True
7,0.5748398704532993,22,1.121688720900106,3.456187165728614,35.177151859802336,77.49373835856119,-0.16401331860751675,0.0001,7.506261641438812,49.9999,0,0.004145501576469739,0.02170081167730093,76.53073504527163,0.055544677942208076,0.0005321549245444854,213.12975458822578,Laminar,True,True,True
8,0.5892038700670701,21,1.0777802982614746,3.717839746981569,32.63338626349096,75.13034624839833,-0.116681473106479,0.0001,9.869653751601675,49.9999,0,0.004943576203519233,0.02675437191817244,75.32257804560541,0.05927365441214493,0.000582071109544231,218.46678930906523,Laminar,True,True,True
9,0.5053370939099084,20,0.8900969336738408,2.8405965976007184,27.301938673476815,77.7929166832484,0.08354725484504437,0.08354725484504437,7.207083316751607,49.916452745154956,0,0.000881446008580662,0.02897744925775515,81.02673694067124,0.12856116760957317,0.0010827787804914392,252.89806454262006,Laminar,True,True,True
10,0.5647940625847139,21,0.9958060636011961,3.2026090331929242,30.911927335625116,76.9825373938866,-0.0121138940656186,0.0001,8.017462606113398,49.9999,0,0.003587348932101384,0.02981540255984265,77.47582006608008,0.08636803732628406,0.0008130025779830031,239.20450233484078,Laminar,True,True,True
